"","stationid","lat","lon","source"
"406","AU_0000135",-21.66066,149.31378,"gsim"
"407","AU_0000136",-22.835,150.6659444,"gsim"
"408","AU_0000137",-23.57636111,149.9378333,"gsim"
"409","AU_0000138",-23.81911544,150.8206288,"gsim"
"410","AU_0000139",-23.08897222,150.1071389,"gsim"
"411","AU_0000140",-23.48352778,150.3436111,"gsim"
"412","AU_0000141",-22.96791667,149.8693056,"gsim"
"413","AU_0000142",-23.26988889,149.5096389,"gsim"
"414","AU_0000143",-23.07616667,149.0330833,"gsim"
"415","AU_0000144",-23.54352778,148.60525,"gsim"
"416","AU_0000145",-23.42923889,148.1513806,"gsim"
"417","AU_0000146",-22.7975,147.5803333,"gsim"
"418","AU_0000147",-23.88485,147.75721,"gsim"
"419","AU_0000148",-23.18563889,147.8948056,"gsim"
"420","AU_0000149",-23.20776944,148.3386167,"gsim"
"421","AU_0000150",-23.48155556,148.4726667,"gsim"
"422","AU_0000151",-25.63772222,149.7895833,"gsim"
"423","AU_0000152",-24.09627778,150.1145833,"gsim"
"424","AU_0000153",-25.38952778,149.7896389,"gsim"
"425","AU_0000154",-24.33863889,149.5838889,"gsim"
"426","AU_0000155",-24.83211111,149.975,"gsim"
"427","AU_0000156",-24.149887,150.524785,"gsim"
"428","AU_0000157",-24.08827,149.82191,"gsim"
"429","AU_0000158",-25.74473,149.32991,"gsim"
"430","AU_0000159",-24.106457,150.287185,"gsim"
"431","AU_0000160",-24.56147778,150.7468694,"gsim"
"432","AU_0000161",-23.76571,150.35794,"gsim"
"433","AU_0000162",-24.575508,150.624043,"gsim"
"434","AU_0000163",-26.02502778,149.8830556,"gsim"
"435","AU_0000164",-24.447547,150.424875,"gsim"
"436","AU_0000165",-23.972605,150.39114,"gsim"
"437","AU_0000166",-23.6574,150.37232,"gsim"
"438","AU_0000167",-24.62339,149.78975,"gsim"
"439","AU_0000168",-23.6283185,150.3883052,"gsim"
"440","AU_0000169",-23.62847222,150.3818611,"gsim"
"441","AU_0000170",-23.63138889,150.3836111,"gsim"
"442","AU_0000171",-23.64427778,150.3791667,"gsim"
"443","AU_0000172",-23.64983333,150.3766389,"gsim"
"444","AU_0000173",-23.64447222,150.4054306,"gsim"
"445","AU_0000174",-23.76302778,150.3693611,"gsim"
"446","AU_0000175",-24.35661111,149.8094444,"gsim"
"447","AU_0000176",-25.49386,149.52098,"gsim"
"448","AU_0000177",-25.90027778,149.4272222,"gsim"
"449","AU_0000178",-23.84921111,150.2644583,"gsim"
"450","AU_0000179",-22.65658355,149.1157774,"gsim"
"451","AU_0000180",-22.03574,149.13149,"gsim"
"452","AU_0000181",-22.33591667,148.9484722,"gsim"
"453","AU_0000182",-21.77681,148.92682,"gsim"
"454","AU_0000183",-21.68239,148.68593,"gsim"
"455","AU_0000184",-22.17077778,148.3841667,"gsim"
"456","AU_0000185",-21.76938,148.78657,"gsim"
"457","AU_0000186",-21.855517,147.97263,"gsim"
"458","AU_0000187",-21.85122222,149.2017778,"gsim"
"459","AU_0000188",-24.84193056,148.6936893,"gsim"
"460","AU_0000189",-23.61247222,148.5513889,"gsim"
"461","AU_0000190",-24.31153611,148.6144972,"gsim"
"462","AU_0000191",-24.97753,148.38813,"gsim"
"463","AU_0000192",-23.8563,148.5037,"gsim"
"464","AU_0000193",-41.12975785,144.6880538,"gsim"
"465","AU_0000194",-41.22232902,147.703115,"gsim"
"466","AU_0000195",-23.98498333,151.0975639,"gsim"
"467","AU_0000196",-24.19321,151.1561,"gsim"
"468","AU_0000197",-24.28244,151.28552,"gsim"
"469","AU_0000198",-24.07008611,151.3216253,"gsim"
"470","AU_0000199",-24.35722,151.31162,"gsim"
"471","AU_0000200",-41.17255977,147.7350938,"gsim"
"472","AU_0000201",-24.51363146,151.7362803,"gsim"
